cal,C14,error
9005,8075,19
9000,8063,19
8995,8041,20
8990,8016,22
8985,7998,21
8980,7983,21
8975,7970,20
8970,7961,19
8965,7958,20
8960,7964,19
8955,7971,20
8950,7971,21
8945,7970,22
8940,7969,21
8935,7965,22
8930,7960,22
8925,7957,24
8920,7964,22
8915,7979,20
8910,7992,20
8905,7996,20
8900,7991,21
8895,7978,21
8890,7966,22
8885,7969,21
8880,7981,21
8875,7991,20
8870,7993,21
8865,7982,22
8860,7968,23
8855,7957,22
8850,7950,21
8845,7947,20
8840,7949,20
8835,7959,21
8830,7976,22
8825,7991,21
8820,7999,21
8815,7995,21
8810,7987,23
8805,7984,23
8800,7985,23
8795,7987,24
8790,7986,23
8785,7981,21
8780,7971,21
8775,7955,21
8770,7942,22
8765,7935,21
8760,7934,21
8755,7934,20
8750,7933,21
8745,7932,21
8740,7935,22
8735,7941,21
8730,7944,21
8725,7937,21
8720,7925,20
8715,7916,20
8710,7917,20
8705,7921,19
8700,7920,20
8695,7912,21
8690,7906,20
8685,7902,21
8680,7903,22
8675,7909,22
8670,7919,22
8665,7929,20
8660,7934,21
8655,7929,21
8650,7918,21
8645,7903,20
8640,7886,22
8635,7867,22
8630,7854,22
8625,7852,21
8620,7859,21
8615,7868,22
8610,7873,23
8605,7867,23
8600,7848,21
8595,7821,20
8590,7794,20
8585,7775,21
8580,7771,20
8575,7775,21
8570,7782,22
8565,7788,21
8560,7791,20
8555,7789,20
8550,7781,19
8545,7763,19
8540,7737,20
8535,7726,21
8530,7727,20
8525,7731,20
8520,7726,20
8515,7713,21
8510,7702,22
8505,7703,20
8500,7712,19
8495,7722,21
8490,7725,20
8485,7723,19
8480,7721,21
8475,7720,20
8470,7721,19
8465,7721,19
8460,7718,20
8455,7708,19
8450,7695,20
8445,7687,22
8440,7687,21
8435,7690,21
8430,7688,21
8425,7677,19
8420,7660,20
8415,7644,20
8410,7629,21
8405,7615,19
8400,7605,20
8395,7602,19
8390,7596,20
8385,7582,20
8380,7566,21
8375,7552,20
8370,7538,20
8365,7524,19
8360,7515,18
8355,7514,18
8350,7514,18
8345,7502,18
8340,7486,18
8335,7479,18
8330,7474,18
8325,7463,19
8320,7453,19
8315,7445,19
8310,7441,21
8305,7438,21
8300,7436,20
8295,7436,20
8290,7436,20
8285,7430,21
8280,7420,20
8275,7414,20
8270,7417,20
8265,7428,19
8260,7440,20
8255,7447,20
8250,7449,20
8245,7452,22
8240,7457,21
8235,7463,21
8230,7467,24
8225,7464,23
8220,7456,21
8215,7447,21
8210,7439,22
8205,7433,22
8200,7427,21
8195,7419,22
8190,7407,23
8185,7388,23
8180,7366,21
8175,7342,21
8170,7319,22
8165,7302,23
8160,7292,21
8155,7287,20
8150,7288,20
8145,7291,21
8140,7295,20
8135,7299,19
8130,7301,20
8125,7301,22
8120,7299,21
8115,7296,21
8110,7293,24
8105,7293,26
8100,7295,26
8095,7298,24
8090,7303,23
8085,7308,22
8080,7313,24
8075,7318,26
8070,7321,28
8065,7323,28
8060,7322,27
8055,7320,26
8050,7315,25
8045,7308,26
8040,7299,26
8035,7286,27
8030,7270,26
8025,7251,25
8020,7230,23
8015,7209,24
8010,7192,25
8005,7181,25
8000,7178,22
7995,7181,20
7990,7185,20
7985,7186,20
7980,7183,21
7975,7173,20
7970,7158,21
7965,7142,23
7960,7129,24
7955,7123,24
7950,7124,22
7945,7124,22
7940,7115,22
7935,7093,21
7930,7066,23
7925,7044,23
7920,7029,21
7915,7019,20
7910,7013,20
7905,7015,21
7900,7029,21
7895,7053,20
7890,7073,22
7885,7083,22
7880,7082,23
7875,7071,23
7870,7054,22
7865,7036,22
7860,7025,22
